VALIDATION: the kernel's deep vertical-bore machine (cap 0.15 m beyond F, r_cap 0.286, F2 3 m below F, no slot, no strut) against the torch twin, 128 x 512 rays, same noise draws, sigb 0.0043
    day/hour    el    who |  through   shadow     hole   no hit crossing     bore       M3      way   collar
  172/12      83.2 kernel |    80.6%     1.8%     4.0%     0.0%     0.0%     0.1%     0.8%     0.0%    12.6%
                     twin |    80.0%     1.8%     4.0%     0.0%     0.0%     0.1%     0.8%     0.0%    13.2%
   80/12      59.4 kernel |     8.2%     1.8%     4.0%     0.0%    84.8%     0.1%     0.1%     0.0%     1.0%
                     twin |     8.2%     1.8%     4.0%     0.0%    84.8%     0.1%     0.1%     0.0%     1.0%
   80/9       37.4 kernel |     0.0%     1.8%     4.0%     0.0%    94.2%     0.0%     0.0%     0.0%     0.0%
                     twin |     0.0%     1.8%     4.0%     0.0%    94.2%     0.0%     0.0%     0.0%     0.0%
  355/12      36.4 kernel |     0.0%     1.8%     4.0%     0.0%    94.2%     0.0%     0.0%     0.0%     0.0%
                     twin |     0.0%     1.8%     4.0%     0.0%    94.2%     0.0%     0.0%     0.0%     0.0%

THE COUDE RELAY, midsummer noon (el 83), sigb 0.0043, with the sun's disc: stalk at (1.25, 0.0), deck z 3.6, M4 at z 5.35, stalk 1.4 m beside the axis, M3 patch r 0.55, M4 patch r 0.6, pivot bore r 0.3 over 0.4-1.0 m from the stalk, stalk r 0.46
(a first sweep, kept in the README: F2 at 1.2-1.5 m behind the vertex with M3 relaying 1:1 or magnifying lost 33-70 % of the rays in the pivot's bore - the cap's image, 10-14 cm rms at magnification 16-26, is too large for a 0.30 m bore with the cone it carries; so F2 comes in towards the vertex and M3 demagnifies)
neck   2c     d  mag   s1  s1p   s2  s2p hole | throug cap sh   hole  blade no cap   film     M3  pivot     M4  stalk turn M    way collar | rms radii cm: F2  M3  F3 piv  M4 F2c deck
 1.8 1.50  0.20    8 1.35 0.60 0.80 2.00 0.50 |  55.2%   2.8%   3.0%   0.0%   0.0%   0.0%   3.1%  16.3%   6.9%   0.0%   1.6%   0.0%  11.0% |  7.8 31.9  4.1 24.7 39.7  6.6  5.5
 1.8 1.50  0.20    8 1.35 0.60 0.80 2.80 0.40 |  68.7%   2.8%   0.8%   0.0%   0.0%   0.0%   3.1%  16.4%   7.7%   0.1%   0.0%   0.0%   0.3% |  7.7 31.7  4.1 24.5 40.1  9.1 10.3
 1.8 1.50  0.20    8 1.35 0.60 0.80 2.80 0.50 |  66.7%   2.8%   3.0%   0.0%   0.0%   0.0%   3.1%  16.3%   7.6%   0.1%   0.0%   0.0%   0.3% |  7.8 31.9  4.1 24.7 40.4  9.1 10.5
 1.8 1.50  0.20    8 1.35 0.60 0.80 3.50 0.40 |  68.5%   2.8%   0.8%   0.0%   0.0%   0.0%   3.1%  16.4%   8.0%   0.3%   0.0%   0.0%   0.0% |  7.7 31.7  4.1 24.5 40.5 11.3 13.6
 1.8 1.50  0.20    8 1.35 0.60 0.80 3.50 0.50 |  66.4%   2.8%   3.0%   0.0%   0.0%   0.0%   3.1%  16.3%   8.0%   0.3%   0.0%   0.0%   0.0% |  7.8 31.9  4.1 24.7 40.7 11.3 13.8
 1.8 1.50  0.20    8 1.35 0.70 0.70 2.00 0.40 |  68.0%   2.8%   0.8%   0.0%   0.0%   0.0%   3.2%   3.8%   4.2%   0.0%   2.8%   0.0%  14.3% |  7.7 31.8  4.5 16.2 34.5  9.0  6.7
 1.8 1.50  0.20    8 1.35 0.70 0.70 2.00 0.50 |  66.2%   2.8%   3.0%   0.0%   0.0%   0.0%   3.2%   3.8%   4.2%   0.0%   2.7%   0.0%  14.0% |  7.8 32.1  4.5 16.3 34.7  9.0  6.7
 1.8 1.50  0.20    8 1.35 0.70 0.70 2.80 0.40 |  82.8%   2.8%   0.8%   0.0%   0.0%   0.0%   3.2%   3.8%   4.8%   0.1%   0.1%   0.0%   1.6% |  7.7 31.8  4.5 16.2 35.0 12.5  8.9
 1.8 1.50  0.20    8 1.35 0.70 0.70 2.80 0.50 |  80.7%   2.8%   3.0%   0.0%   0.0%   0.0%   3.2%   3.8%   4.8%   0.1%   0.1%   0.0%   1.5% |  7.8 32.1  4.5 16.3 35.2 12.5  9.0
 1.8 1.50  0.20    8 1.35 0.70 0.70 3.50 0.40 |  83.9%   2.8%   0.8%   0.0%   0.0%   0.0%   3.2%   3.8%   5.0%   0.1%   0.0%   0.0%   0.2% |  7.7 31.8  4.5 16.2 35.3 15.5 11.4
 1.8 1.50  0.20    8 1.35 0.70 0.70 3.50 0.50 |  81.8%   2.8%   3.0%   0.0%   0.0%   0.0%   3.2%   3.8%   5.0%   0.1%   0.0%   0.0%   0.2% |  7.8 32.1  4.5 16.3 35.5 15.5 11.5
 1.8 1.50  0.20    8 1.35 0.80 0.60 2.00 0.40 |  71.6%   2.8%   0.8%   0.0%   0.0%   0.0%   3.4%   1.6%   1.7%   0.0%   3.9%   0.0%  14.2% |  7.7 31.9  4.9 14.2 28.3 12.4  9.4
 1.8 1.50  0.20    8 1.35 0.80 0.60 2.00 0.50 |  69.7%   2.8%   3.0%   0.0%   0.0%   0.0%   3.3%   1.6%   1.7%   0.0%   3.8%   0.0%  13.9% |  7.8 32.2  4.9 14.3 28.5 12.5  9.4
 1.8 1.50  0.20    8 1.35 0.80 0.60 2.80 0.40 |  85.4%   2.8%   0.8%   0.0%   0.0%   0.0%   3.4%   1.6%   2.0%   0.0%   0.7%   0.0%   3.3% |  7.7 31.9  4.9 14.2 28.6 17.2  8.7
 1.8 1.50  0.20    8 1.35 0.80 0.60 2.80 0.50 |  83.3%   2.8%   3.0%   0.0%   0.0%   0.0%   3.3%   1.6%   2.0%   0.0%   0.7%   0.0%   3.2% |  7.8 32.2  4.9 14.3 28.8 17.2  8.8
 1.8 1.50  0.20    8 1.35 0.80 0.60 3.50 0.40 |  87.9%   2.8%   0.8%   0.0%   0.0%   0.0%   3.4%   1.6%   2.2%   0.0%   0.3%   0.0%   1.0% |  7.7 31.9  4.9 14.2 28.8 21.4  9.7
 1.8 1.50  0.20    8 1.35 0.80 0.60 3.50 0.50 |  85.8%   2.8%   3.0%   0.0%   0.0%   0.0%   3.3%   1.6%   2.1%   0.0%   0.3%   0.0%   0.9% |  7.8 32.2  4.9 14.3 29.0 21.4  9.8
 1.8 1.50  0.25    7 1.35 0.60 0.80 2.00 0.50 |  51.1%   4.4%   1.4%   0.0%   0.0%   0.0%   4.2%  19.0%   8.5%   0.0%   1.3%   0.0%   9.9% |  6.4 35.4  3.6 26.8 42.8  5.8  5.8
 1.8 1.50  0.25    7 1.35 0.60 0.80 2.80 0.50 |  61.0%   4.4%   1.4%   0.0%   0.0%   0.0%   4.2%  19.0%   9.5%   0.2%   0.0%   0.0%   0.1% |  6.4 35.4  3.6 26.8 43.6  8.0 12.1
 1.8 1.50  0.25    7 1.35 0.60 0.80 3.50 0.50 |  60.4%   4.4%   1.4%   0.0%   0.0%   0.0%   4.2%  19.0%  10.0%   0.5%   0.0%   0.0%   0.0% |  6.4 35.4  3.6 26.8 44.0 10.0 15.7
 1.8 1.50  0.25    7 1.35 0.70 0.70 2.00 0.50 |  66.9%   4.4%   1.4%   0.0%   0.0%   0.0%   4.5%   4.3%   4.1%   0.0%   2.1%   0.0%  12.3% |  6.4 35.5  3.9 17.0 36.3  7.7  6.4
 1.8 1.50  0.25    7 1.35 0.70 0.70 2.80 0.50 |  79.6%   4.4%   1.4%   0.0%   0.0%   0.0%   4.5%   4.3%   4.7%   0.1%   0.1%   0.0%   0.8% |  6.4 35.5  3.9 17.0 36.8 10.7 10.5
 1.8 1.50  0.25    7 1.35 0.70 0.70 3.50 0.50 |  79.9%   4.4%   1.4%   0.0%   0.0%   0.0%   4.5%   4.3%   5.1%   0.2%   0.0%   0.0%   0.1% |  6.4 35.5  3.9 17.0 37.1 13.4 13.5
 1.8 1.50  0.25    7 1.35 0.80 0.60 2.00 0.50 |  72.4%   4.4%   1.4%   0.0%   0.0%   0.0%   4.8%   2.7%   1.0%   0.1%   2.3%   0.0%  10.8% |  6.4 35.6  4.3 15.8 28.9 10.7  8.4
 1.8 1.50  0.25    7 1.35 0.80 0.60 2.80 0.50 |  83.2%   4.4%   1.4%   0.0%   0.0%   0.0%   4.8%   2.7%   1.3%   0.0%   0.4%   0.0%   1.7% |  6.4 35.6  4.3 15.8 29.2 14.8  9.4
 1.8 1.50  0.25    7 1.35 0.80 0.60 3.50 0.50 |  84.5%   4.4%   1.4%   0.0%   0.0%   0.0%   4.8%   2.7%   1.5%   0.0%   0.2%   0.0%   0.5% |  6.4 35.6  4.3 15.8 29.4 18.5 11.2
 1.8 1.80  0.15   13 1.05 0.60 0.80 2.00 0.40 |  46.1%   1.6%   2.0%   0.0%   0.0%   0.2%   2.2%  20.3%   4.1%   0.0%   4.8%   0.0%  18.6% | 11.4 24.7  8.5 26.7 35.9 11.1  7.2
 1.8 1.80  0.15   13 1.05 0.60 0.80 2.00 0.50 |  45.0%   1.6%   4.2%   0.0%   0.0%   0.0%   2.4%  19.9%   4.0%   0.0%   4.7%   0.0%  18.2% | 11.7 24.8  8.5 26.7 35.9 11.1  7.2
 1.8 1.80  0.15   13 1.05 0.60 0.80 2.80 0.40 |  65.2%   1.6%   2.0%   0.0%   0.0%   0.2%   2.2%  20.3%   4.7%   0.0%   0.1%   0.0%   3.7% | 11.4 24.7  8.5 26.7 36.3 15.2  6.4
 1.8 1.80  0.15   13 1.05 0.60 0.80 2.80 0.50 |  63.6%   1.6%   4.2%   0.0%   0.0%   0.0%   2.4%  19.9%   4.6%   0.0%   0.1%   0.0%   3.6% | 11.7 24.8  8.5 26.7 36.4 15.2  6.4
 1.8 1.80  0.15   13 1.05 0.60 0.80 3.50 0.40 |  68.4%   1.6%   2.0%   0.0%   0.0%   0.2%   2.2%  20.3%   4.9%   0.0%   0.0%   0.0%   0.3% | 11.4 24.7  8.5 26.7 36.5 18.8  8.5
 1.8 1.80  0.15   13 1.05 0.60 0.80 3.50 0.50 |  66.6%   1.6%   4.2%   0.0%   0.0%   0.0%   2.4%  19.9%   4.9%   0.0%   0.0%   0.0%   0.3% | 11.7 24.8  8.5 26.7 36.6 18.8  8.6
 1.8 1.80  0.15   13 1.05 0.70 0.70 2.00 0.40 |  47.1%   1.6%   2.0%   0.0%   0.0%   0.2%   2.2%  10.1%   3.7%   0.0%  11.2%   0.0%  21.9% | 11.4 24.8  9.2 20.4 33.6 16.1 11.5
 1.8 1.80  0.15   13 1.05 0.70 0.70 2.00 0.50 |  45.9%   1.6%   4.2%   0.0%   0.0%   0.0%   2.3%  10.0%   3.6%   0.0%  10.9%   0.0%  21.4% | 11.7 25.0  9.2 20.4 33.6 16.1 11.5
 1.8 1.80  0.15   13 1.05 0.70 0.70 2.80 0.40 |  69.1%   1.6%   2.0%   0.0%   0.0%   0.2%   2.2%  10.1%   4.2%   0.0%   2.2%   0.0%   8.4% | 11.4 24.8  9.2 20.4 34.0 22.0  7.6
 1.8 1.80  0.15   13 1.05 0.70 0.70 2.80 0.50 |  67.4%   1.6%   4.2%   0.0%   0.0%   0.0%   2.3%  10.0%   4.1%   0.0%   2.1%   0.0%   8.2% | 11.7 25.0  9.2 20.4 34.0 22.0  7.7
 1.8 1.80  0.15   13 1.05 0.70 0.70 3.50 0.40 |  75.5%   1.6%   2.0%   0.0%   0.0%   0.2%   2.2%  10.1%   4.4%   0.0%   0.3%   0.0%   3.6% | 11.4 24.8  9.2 20.4 34.2 27.2  7.4
 1.8 1.80  0.15   13 1.05 0.70 0.70 3.50 0.50 |  73.7%   1.6%   4.2%   0.0%   0.0%   0.0%   2.3%  10.0%   4.3%   0.0%   0.3%   0.0%   3.5% | 11.7 25.0  9.2 20.4 34.2 27.2  7.5
 1.8 1.80  0.15   13 1.05 0.80 0.60 2.00 0.40 |  44.1%   1.6%   2.0%   0.0%   0.0%   0.2%   2.2%   5.1%   3.2%   0.8%  19.3%   0.0%  21.4% | 11.4 25.0 10.0 16.6 30.8 22.7 17.4
 1.8 1.80  0.15   13 1.05 0.80 0.60 2.00 0.50 |  43.0%   1.6%   4.2%   0.0%   0.0%   0.0%   2.3%   5.0%   3.2%   0.8%  18.8%   0.0%  20.9% | 11.7 25.1 10.0 16.6 30.9 22.7 17.4
 1.8 1.80  0.15   13 1.05 0.80 0.60 2.80 0.40 |  64.3%   1.6%   2.0%   0.0%   0.0%   0.2%   2.2%   5.1%   3.6%   0.2%   8.9%   0.0%  11.8% | 11.4 25.0 10.0 16.6 31.2 31.0 12.5
 1.8 1.80  0.15   13 1.05 0.80 0.60 2.80 0.50 |  62.9%   1.6%   4.2%   0.0%   0.0%   0.0%   2.3%   5.0%   3.5%   0.2%   8.7%   0.0%  11.5% | 11.7 25.1 10.0 16.6 31.3 31.0 12.5
 1.8 1.80  0.15   13 1.05 0.80 0.60 3.50 0.40 |  72.4%   1.6%   2.0%   0.0%   0.0%   0.2%   2.2%   5.1%   3.8%   0.1%   5.2%   0.0%   7.3% | 11.4 25.0 10.0 16.6 31.4 38.3 10.7
 1.8 1.80  0.15   13 1.05 0.80 0.60 3.50 0.50 |  70.7%   1.6%   4.2%   0.0%   0.0%   0.0%   2.3%   5.0%   3.8%   0.1%   5.1%   0.0%   7.1% | 11.7 25.1 10.0 16.6 31.4 38.3 10.8
 1.8 1.80  0.20   10 1.05 0.60 0.80 2.00 0.40 |  58.5%   3.0%   0.6%   0.0%   0.0%   0.1%   1.5%  13.0%   4.2%   0.0%   3.1%   0.0%  15.9% |  9.0 24.1  6.4 22.8 35.0  9.5  6.5
 1.8 1.80  0.20   10 1.05 0.60 0.80 2.00 0.50 |  57.0%   3.0%   2.8%   0.0%   0.0%   0.0%   1.6%  12.9%   4.1%   0.0%   3.0%   0.0%  15.5% |  9.1 24.3  6.4 22.8 35.1  9.5  6.5
 1.8 1.80  0.20   10 1.05 0.60 0.80 2.80 0.40 |  75.0%   3.0%   0.6%   0.0%   0.0%   0.1%   1.5%  13.0%   4.7%   0.0%   0.0%   0.0%   2.0% |  9.0 24.1  6.4 22.8 35.4 13.0  7.7
 1.8 1.80  0.20   10 1.05 0.60 0.80 2.80 0.50 |  73.0%   3.0%   2.8%   0.0%   0.0%   0.0%   1.6%  12.9%   4.7%   0.0%   0.0%   0.0%   1.9% |  9.1 24.3  6.4 22.8 35.5 13.0  7.8
 1.8 1.80  0.20   10 1.05 0.60 0.80 3.50 0.40 |  76.6%   3.0%   0.6%   0.0%   0.0%   0.1%   1.5%  13.0%   5.0%   0.0%   0.0%   0.0%   0.1% |  9.0 24.1  6.4 22.8 35.6 16.2 10.1
 1.8 1.80  0.20   10 1.05 0.60 0.80 3.50 0.50 |  74.6%   3.0%   2.8%   0.0%   0.0%   0.0%   1.6%  12.9%   4.9%   0.0%   0.0%   0.0%   0.1% |  9.1 24.3  6.4 22.8 35.8 16.2 10.2
 1.8 1.80  0.20   10 1.05 0.70 0.70 2.00 0.40 |  61.2%   3.0%   0.6%   0.0%   0.0%   0.1%   1.5%   4.8%   3.3%   0.0%   6.2%   0.0%  19.3% |  9.0 24.2  7.0 16.9 31.6 13.4  9.6
 1.8 1.80  0.20   10 1.05 0.70 0.70 2.00 0.50 |  59.6%   3.0%   2.8%   0.0%   0.0%   0.0%   1.5%   4.7%   3.3%   0.0%   6.1%   0.0%  18.9% |  9.1 24.4  7.0 17.0 31.7 13.4  9.6
 1.8 1.80  0.20   10 1.05 0.70 0.70 2.80 0.40 |  80.2%   3.0%   0.6%   0.0%   0.0%   0.1%   1.5%   4.8%   3.7%   0.0%   0.9%   0.0%   5.2% |  9.0 24.2  7.0 16.9 32.0 18.4  7.7
 1.8 1.80  0.20   10 1.05 0.70 0.70 2.80 0.50 |  78.3%   3.0%   2.8%   0.0%   0.0%   0.0%   1.5%   4.7%   3.6%   0.0%   0.9%   0.0%   5.0% |  9.1 24.4  7.0 17.0 32.1 18.4  7.7
 1.8 1.80  0.20   10 1.05 0.70 0.70 3.50 0.40 |  84.4%   3.0%   0.6%   0.0%   0.0%   0.1%   1.5%   4.8%   3.9%   0.0%   0.1%   0.0%   1.6% |  9.0 24.2  7.0 16.9 32.2 22.8  8.5
 1.8 1.80  0.20   10 1.05 0.70 0.70 3.50 0.50 |  82.3%   3.0%   2.8%   0.0%   0.0%   0.0%   1.5%   4.7%   3.8%   0.0%   0.1%   0.0%   1.5% |  9.1 24.4  7.0 17.0 32.3 22.8  8.6
 1.8 1.80  0.20   10 1.05 0.80 0.60 2.00 0.40 |  59.0%   3.0%   0.6%   0.0%   0.0%   0.1%   1.5%   2.3%   2.1%   0.3%  11.0%   0.0%  20.2% |  9.0 24.3  7.7 13.9 27.7 18.5 14.1
 1.8 1.80  0.20   10 1.05 0.80 0.60 2.00 0.50 |  57.6%   3.0%   2.8%   0.0%   0.0%   0.0%   1.5%   2.2%   2.1%   0.3%  10.7%   0.0%  19.7% |  9.1 24.5  7.7 13.9 27.8 18.5 14.1
 1.8 1.80  0.20   10 1.05 0.80 0.60 2.80 0.40 |  77.4%   3.0%   0.6%   0.0%   0.0%   0.1%   1.5%   2.3%   2.4%   0.1%   3.8%   0.0%   9.0% |  9.0 24.3  7.7 13.9 28.0 25.4 10.7
 1.8 1.80  0.20   10 1.05 0.80 0.60 2.80 0.50 |  75.5%   3.0%   2.8%   0.0%   0.0%   0.0%   1.5%   2.2%   2.4%   0.1%   3.7%   0.0%   8.7% |  9.1 24.5  7.7 13.9 28.1 25.4 10.7
 1.8 1.80  0.20   10 1.05 0.80 0.60 3.50 0.40 |  83.6%   3.0%   0.6%   0.0%   0.0%   0.1%   1.5%   2.3%   2.5%   0.0%   1.9%   0.0%   4.4% |  9.0 24.3  7.7 13.9 28.2 31.5  9.8
 1.8 1.80  0.20   10 1.05 0.80 0.60 3.50 0.50 |  81.6%   3.0%   2.8%   0.0%   0.0%   0.0%   1.5%   2.2%   2.5%   0.0%   1.9%   0.0%   4.3% |  9.1 24.5  7.7 13.9 28.2 31.5  9.9
 1.8 1.80  0.25    8 1.05 0.60 0.80 2.00 0.50 |  61.9%   4.6%   1.2%   0.0%   0.0%   0.0%   1.1%  11.4%   4.4%   0.0%   2.1%   0.0%  13.1% |  7.5 25.8  5.5 22.3 35.8  8.2  6.2
 1.8 1.80  0.25    8 1.05 0.60 0.80 2.80 0.50 |  75.6%   4.6%   1.2%   0.0%   0.0%   0.0%   1.1%  11.4%   5.0%   0.0%   0.0%   0.0%   1.0% |  7.5 25.8  5.5 22.3 36.3 11.3  9.2
 1.8 1.80  0.25    8 1.05 0.60 0.80 3.50 0.50 |  76.1%   4.6%   1.2%   0.0%   0.0%   0.0%   1.1%  11.4%   5.3%   0.1%   0.0%   0.0%   0.1% |  7.5 25.8  5.5 22.3 36.6 14.1 12.0
 1.8 1.80  0.25    8 1.05 0.70 0.70 2.00 0.50 |  67.5%   4.6%   1.2%   0.0%   0.0%   0.0%   1.2%   3.3%   2.8%   0.0%   3.8%   0.0%  15.6% |  7.5 25.9  5.9 15.9 31.4 11.4  8.4
 1.8 1.80  0.25    8 1.05 0.70 0.70 2.80 0.50 |  83.1%   4.6%   1.2%   0.0%   0.0%   0.0%   1.2%   3.3%   3.2%   0.0%   0.4%   0.0%   2.9% |  7.5 25.9  5.9 15.9 31.7 15.7  8.3
 1.8 1.80  0.25    8 1.05 0.70 0.70 3.50 0.50 |  85.5%   4.6%   1.2%   0.0%   0.0%   0.0%   1.2%   3.3%   3.4%   0.0%   0.1%   0.0%   0.6% |  7.5 25.9  5.9 15.9 31.9 19.6  9.9
 1.8 1.80  0.25    8 1.05 0.80 0.60 2.00 0.50 |  67.3%   4.6%   1.2%   0.0%   0.0%   0.0%   1.2%   1.5%   1.5%   0.2%   6.0%   0.0%  16.4% |  7.5 26.0  6.5 13.4 26.5 15.8 12.1
 1.8 1.80  0.25    8 1.05 0.80 0.60 2.80 0.50 |  82.4%   4.6%   1.2%   0.0%   0.0%   0.0%   1.2%   1.5%   1.8%   0.1%   1.7%   0.0%   5.4% |  7.5 26.0  6.5 13.4 26.8 21.7 10.0
 1.8 1.80  0.25    8 1.05 0.80 0.60 3.50 0.50 |  86.4%   4.6%   1.2%   0.0%   0.0%   0.0%   1.2%   1.5%   1.9%   0.1%   0.9%   0.0%   2.3% |  7.5 26.0  6.5 13.4 26.9 27.0  9.9

the twelve best at noon (through with the sun's disc):
    88.7 %  neck 1.3, 2c 1.2, d 0.2 (cap r 0.350, m 7), M3 1.15 -> 0.8, M4 0.60 -> 3.5, hole 0.4; beam rms at M3 31 cm, at M4 28 cm
    88.3 %  neck 1.3, 2c 1.35, d 0.2 (cap r 0.354, m 8), M3 1.00 -> 0.8, M4 0.60 -> 3.5, hole 0.4; beam rms at M3 26 cm, at M4 27 cm
    87.9 %  neck 1.8, 2c 1.5, d 0.2 (cap r 0.358, m 8), M3 1.35 -> 0.8, M4 0.60 -> 3.5, hole 0.4; beam rms at M3 32 cm, at M4 29 cm
    87.9 %  neck 1.3, 2c 1.35, d 0.25 (cap r 0.432, m 6), M3 1.00 -> 0.8, M4 0.60 -> 3.5, hole 0.5; beam rms at M3 29 cm, at M4 27 cm
    87.2 %  neck 1.3, 2c 1.35, d 0.2 (cap r 0.354, m 8), M3 1.00 -> 0.7, M4 0.70 -> 3.5, hole 0.4; beam rms at M3 26 cm, at M4 32 cm
    86.6 %  neck 1.3, 2c 1.2, d 0.2 (cap r 0.350, m 7), M3 1.15 -> 0.8, M4 0.60 -> 3.5, hole 0.5; beam rms at M3 32 cm, at M4 29 cm
    86.5 %  neck 1.3, 2c 1.5, d 0.25 (cap r 0.438, m 7), M3 0.85 -> 0.7, M4 0.70 -> 3.5, hole 0.5; beam rms at M3 24 cm, at M4 31 cm
    86.5 %  neck 1.3, 2c 1.2, d 0.2 (cap r 0.350, m 7), M3 1.15 -> 0.8, M4 0.60 -> 2.8, hole 0.4; beam rms at M3 31 cm, at M4 28 cm
    86.4 %  neck 1.3, 2c 1.2, d 0.15 (cap r 0.270, m 9), M3 1.15 -> 0.8, M4 0.60 -> 3.5, hole 0.4; beam rms at M3 28 cm, at M4 29 cm
    86.4 %  neck 1.8, 2c 1.8, d 0.25 (cap r 0.446, m 8), M3 1.05 -> 0.8, M4 0.60 -> 3.5, hole 0.5; beam rms at M3 26 cm, at M4 27 cm
    86.2 %  neck 1.3, 2c 1.35, d 0.2 (cap r 0.354, m 8), M3 1.00 -> 0.8, M4 0.60 -> 3.5, hole 0.5; beam rms at M3 26 cm, at M4 27 cm
    86.0 %  neck 1.3, 2c 1.5, d 0.25 (cap r 0.438, m 7), M3 0.85 -> 0.8, M4 0.60 -> 3.5, hole 0.5; beam rms at M3 24 cm, at M4 26 cm

THE YEAR: the coude machine (neck 1.3, 2c 1.2, d 0.2, M3 1.15 -> 0.8, M4 0.60 -> 3.5, hole 0.4) against the built machine; rays through, sigb 0.0043; 'disc' = the sun's limb-darkened disc, 'fixed' = the kernel's fixed 3.2 mrad offset (the year logs)
day        hour    el |  built  built |  coude  coude | cap sh   hole  blade no cap   film     M3  pivot     M4  stalk turn M    way collar | net light (0.94/mirror) built x3, coude x5, disc
                      |  fixed   disc |  fixed   disc |
midwinter     8  11.3 |   0.0%   0.0% |      -      - |
midwinter     9  21.1 |  24.6%  25.4% |  90.1%  86.3% |   2.6%   1.0%   0.0%   0.0%   0.0%   2.5%   1.8%   2.6%   0.2%   1.4%   0.0%   1.6% |  21.1%  63.3%
midwinter    10  29.1 |  21.1%  21.7% |  90.2%  86.3% |   2.6%   1.0%   0.0%   0.0%   0.0%   2.5%   1.8%   2.5%   0.1%   1.0%   0.0%   2.1% |  18.0%  63.3%
midwinter    11  34.5 |  19.1%  19.1% |  90.0%  86.2% |   2.6%   1.0%   0.0%   0.0%   0.0%   2.6%   1.8%   2.4%   0.1%   0.9%   0.0%   2.5% |  15.9%  63.2%
midwinter    12  36.4 |  19.0%  18.4% |  89.6%  85.7% |   2.6%   1.0%   0.0%   0.0%   0.0%   2.6%   1.8%   2.4%   0.1%   1.0%   0.0%   2.9% |  15.3%  62.9%
midwinter    13  34.5 |  20.5%  19.0% |  89.0%  85.2% |   2.6%   1.0%   0.0%   0.0%   0.0%   2.5%   1.8%   2.3%   0.1%   1.3%   0.0%   3.1% |  15.8%  62.5%
midwinter    14  29.1 |  23.8%  21.7% |  88.3%  84.5% |   2.6%   1.0%   0.0%   0.0%   0.0%   2.5%   1.8%   2.4%   0.1%   1.6%   0.0%   3.4% |  18.0%  62.0%
midwinter    15  21.1 |  28.4%  26.0% |  87.4%  83.5% |   2.6%   1.0%   0.0%   0.0%   0.0%   2.6%   1.7%   2.5%   0.1%   2.0%   0.0%   3.8% |  21.6%  61.3%
midwinter    16  11.3 |   0.0%   0.0% |      -      - |
equinox       8  25.4 |  21.6%  23.4% |  90.7%  87.1% |   2.6%   1.0%   0.0%   0.0%   0.0%   2.6%   1.8%   2.5%   0.1%   1.6%   0.0%   0.6% |  19.4%  63.9%
equinox       9  37.4 |  16.3%  17.5% |  91.6%  87.6% |   2.6%   1.0%   0.0%   0.0%   0.0%   2.5%   1.8%   2.4%   0.1%   1.0%   0.0%   0.9% |  14.5%  64.3%
equinox      10  48.2 |  13.3%  14.1% |  91.7%  87.9% |   2.6%   1.0%   0.0%   0.0%   0.0%   2.5%   1.9%   2.3%   0.1%   0.6%   0.0%   1.2% |  11.7%  64.5%
equinox      11  56.2 |  10.3%  10.9% |  91.2%  87.9% |   2.6%   1.0%   0.0%   0.0%   0.0%   2.5%   1.8%   2.2%   0.0%   0.4%   0.0%   1.6% |   9.1%  64.5%
equinox      12  59.4 |  10.5%   9.9% |  90.7%  87.5% |   2.6%   1.0%   0.0%   0.0%   0.0%   2.6%   1.8%   2.1%   0.0%   0.5%   0.0%   1.9% |   8.3%  64.2%
equinox      13  56.2 |  12.5%  10.8% |  90.4%  86.9% |   2.6%   1.0%   0.0%   0.0%   0.0%   2.5%   1.8%   2.1%   0.1%   0.7%   0.0%   2.2% |   9.0%  63.8%
equinox      14  48.2 |  15.6%  13.8% |  89.8%  86.3% |   2.6%   1.0%   0.0%   0.0%   0.0%   2.6%   1.8%   2.1%   0.1%   1.0%   0.0%   2.5% |  11.5%  63.3%
equinox      15  37.4 |  20.1%  17.7% |  88.7%  85.4% |   2.6%   1.0%   0.0%   0.0%   0.0%   2.6%   1.8%   2.3%   0.1%   1.3%   0.0%   3.0% |  14.7%  62.7%
equinox      16  25.4 |  26.0%  23.3% |  87.9%  84.3% |   2.6%   1.0%   0.0%   0.0%   0.0%   2.6%   1.8%   2.4%   0.1%   1.7%   0.0%   3.4% |  19.4%  61.9%
midsummer     8  36.6 |  15.7%  17.3% |  92.0%  87.8% |   2.6%   1.0%   0.0%   0.0%   0.0%   2.6%   1.9%   2.3%   0.1%   1.4%   0.0%   0.3% |  14.4%  64.5%
midsummer     9  49.5 |  12.2%  13.0% |  93.0%  88.5% |   2.6%   1.0%   0.0%   0.0%   0.0%   2.6%   1.8%   2.2%   0.0%   0.9%   0.0%   0.3% |  10.8%  64.9%
midsummer    10  62.5 |   7.0%   8.6% |  93.4%  88.9% |   2.6%   1.0%   0.0%   0.0%   0.0%   2.6%   1.8%   2.1%   0.0%   0.6%   0.0%   0.3% |   7.1%  65.2%
midsummer    11  75.0 |   6.5%   7.7% |  93.0%  89.1% |   2.6%   1.0%   0.0%   0.0%   0.0%   2.5%   1.8%   2.1%   0.0%   0.4%   0.0%   0.4% |   6.4%  65.4%
midsummer    12  83.2 |   8.4%   7.9% |  91.1%  88.7% |   2.6%   1.0%   0.0%   0.0%   0.0%   2.6%   1.8%   2.1%   0.0%   0.3%   0.0%   0.9% |   6.5%  65.1%
